sessionId,clientId,visitorId,visit_start_time,product_price,product_quantity,product_revenue,product_refund_amount,traffic_channel,traffic_source,promotion,transaction_id,event_id,productSKU,itemQuantity,itemRevenue,currencyCode,event_ts,event_category,event_action,event_value,event_name,page_name,device_category,browser,ip_address,mac_address,client_type
S11032023-000001,11896,1189639842,11:03:2023 22:57:57,,,,0,Paid Search,Google,,,0,,,,,11:03:2023 22:57:57,Ecommerce,Conversion,0,click,home_page,Laptop,Firefox,127.0.0.1,,
S11032023-000001,11896,1189640135,11:03:2023 22:57:57,,,,0,Paid Search,Google,,,1,,,,,11:03:2023 22:58:29,Ecommerce,Conversion,0,product_click,product_list,Laptop,Firefox,127.0.0.1,,
S11032023-000001,11896,1189640972,11:03:2023 22:57:57,155.26,,,0,Paid Search,Google,,,2,SKU0016151,,,,11:03:2023 22:59:16,Ecommerce,Conversion,0,product_select,product_detail,Laptop,Firefox,127.0.0.1,,
S11032023-000001,11896,1189626254,11:03:2023 22:57:57,187.3,,,0,Paid Search,Google,,,2,SKU0024948,,,,11:03:2023 22:59:16,Ecommerce,Conversion,0,product_select,product_detail,Laptop,Firefox,127.0.0.1,,
S11032023-000001,11896,1189627383,11:03:2023 22:57:57,26.56,,,0,Paid Search,Google,,,2,SKU0016789,,,,11:03:2023 22:59:16,Ecommerce,Conversion,0,product_select,product_detail,Laptop,Firefox,127.0.0.1,,
S11032023-000001,11896,1189630201,11:03:2023 22:57:57,217.91,,,0,Paid Search,Google,,,2,SKU0019948,,,,11:03:2023 22:59:16,Ecommerce,Conversion,0,product_select,product_detail,Laptop,Firefox,127.0.0.1,,
S11032023-000001,11896,1189627948,11:03:2023 22:57:57,155.26,,,0,Paid Search,Google,,,2,SKU0016151,,,,11:03:2023 22:59:16,Ecommerce,Conversion,0,product_select,product_detail,Laptop,Firefox,127.0.0.1,,
S11032023-000001,11896,1189631344,11:03:2023 22:57:57,155.26,3,,0,Paid Search,Google,,,3,SKU0016151,3,,,11:03:2023 23:00:04,Ecommerce,Conversion,0,product_add,shopping_cart,Laptop,Firefox,127.0.0.1,,Returning Customer
S11032023-000001,11896,1189636013,11:03:2023 22:57:57,187.3,3,,0,Paid Search,Google,,,3,SKU0024948,3,,,11:03:2023 23:00:04,Ecommerce,Conversion,0,product_add,shopping_cart,Laptop,Firefox,127.0.0.1,,Returning Customer
S11032023-000001,11896,1189637120,11:03:2023 22:57:57,26.56,4,,0,Paid Search,Google,,,3,SKU0016789,4,,,11:03:2023 23:00:04,Ecommerce,Conversion,0,product_add,shopping_cart,Laptop,Firefox,127.0.0.1,,Returning Customer
S11032023-000001,11896,1189634738,11:03:2023 22:57:57,217.91,5,,0,Paid Search,Google,,,3,SKU0019948,5,,,11:03:2023 23:00:04,Ecommerce,Conversion,0,product_add,shopping_cart,Laptop,Firefox,127.0.0.1,,Returning Customer
S11032023-000001,11896,1189627180,11:03:2023 22:57:57,155.26,3,,0,Paid Search,Google,,,3,SKU0016151,3,,,11:03:2023 23:00:04,Ecommerce,Conversion,0,product_add,shopping_cart,Laptop,Firefox,127.0.0.1,,Returning Customer
S11032023-000001,11896,1189626699,11:03:2023 22:57:57,155.26,3,465.78,0,Paid Search,Google,,,4,SKU0016151,3,465.78,USD,11:03:2023 23:00:56,Ecommerce,Conversion,0,payment_entry,payment_screen,Laptop,Firefox,127.0.0.1,,Returning Customer
S11032023-000001,11896,1189624292,11:03:2023 22:57:57,187.3,3,561.9,0,Paid Search,Google,,,4,SKU0024948,3,561.9,USD,11:03:2023 23:00:56,Ecommerce,Conversion,0,payment_entry,payment_screen,Laptop,Firefox,127.0.0.1,,Returning Customer
S11032023-000001,11896,1189637233,11:03:2023 22:57:57,26.56,4,106.24,0,Paid Search,Google,,,4,SKU0016789,4,106.24,USD,11:03:2023 23:00:56,Ecommerce,Conversion,0,payment_entry,payment_screen,Laptop,Firefox,127.0.0.1,,Returning Customer
S11032023-000001,11896,1189634748,11:03:2023 22:57:57,217.91,5,1089.55,0,Paid Search,Google,,,4,SKU0019948,5,1089.55,USD,11:03:2023 23:00:56,Ecommerce,Conversion,0,payment_entry,payment_screen,Laptop,Firefox,127.0.0.1,,Returning Customer
S11032023-000001,11896,1189637826,11:03:2023 22:57:57,155.26,3,465.78,0,Paid Search,Google,,,4,SKU0016151,3,465.78,USD,11:03:2023 23:00:56,Ecommerce,Conversion,0,payment_entry,payment_screen,Laptop,Firefox,127.0.0.1,,Returning Customer
S11032023-000001,11896,1189631297,11:03:2023 22:57:57,155.26,3,465.78,0,Paid Search,Google,,S11032023-000001,5,SKU0016151,3,465.78,USD,11:03:2023 23:02:02,Ecommerce,Conversion,2689.25,verify_order,order_success,Laptop,Firefox,127.0.0.1,,Returning Customer
S11032023-000001,11896,1189636462,11:03:2023 22:57:57,187.3,3,561.9,0,Paid Search,Google,,S11032023-000001,5,SKU0024948,3,561.9,USD,11:03:2023 23:02:02,Ecommerce,Conversion,2689.25,verify_order,order_success,Laptop,Firefox,127.0.0.1,,Returning Customer
S11032023-000001,11896,1189628037,11:03:2023 22:57:57,26.56,4,106.24,0,Paid Search,Google,,S11032023-000001,5,SKU0016789,4,106.24,USD,11:03:2023 23:02:02,Ecommerce,Conversion,2689.25,verify_order,order_success,Laptop,Firefox,127.0.0.1,,Returning Customer
S11032023-000001,11896,1189640799,11:03:2023 22:57:57,217.91,5,1089.55,0,Paid Search,Google,,S11032023-000001,5,SKU0019948,5,1089.55,USD,11:03:2023 23:02:02,Ecommerce,Conversion,2689.25,verify_order,order_success,Laptop,Firefox,127.0.0.1,,Returning Customer
S11032023-000001,11896,1189635165,11:03:2023 22:57:57,155.26,3,465.78,0,Paid Search,Google,,S11032023-000001,5,SKU0016151,3,465.78,USD,11:03:2023 23:02:02,Ecommerce,Conversion,2689.25,verify_order,order_success,Laptop,Firefox,127.0.0.1,,Returning Customer
S09052023-000002,11896,1189626135,09:05:2023 01:38:24,,,,0,Direct,Company Site,,S11032023-000001,0,,,,,09:05:2023 01:38:24,Ecommerce,Conversion,0,click,home_page,Mobile,Firefox,127.0.0.1,,Returning Customer
S09052023-000002,11896,1189638297,09:05:2023 01:38:24,,,,0,Direct,Company Site,,S11032023-000001,1,,,,,09:05:2023 01:38:59,Ecommerce,Conversion,0,product_click,product_list,Mobile,Firefox,127.0.0.1,,Returning Customer
S09052023-000002,11896,1189640650,09:05:2023 01:38:24,67.55,,,0,Direct,Company Site,,S11032023-000001,2,SKU0016525,,,,09:05:2023 01:39:33,Ecommerce,Conversion,0,product_select,product_detail,Mobile,Firefox,127.0.0.1,,Returning Customer
S09052023-000002,11896,1189637465,09:05:2023 01:38:24,177.66,,,0,Direct,Company Site,,S11032023-000001,2,SKU0026040,,,,09:05:2023 01:39:33,Ecommerce,Conversion,0,product_select,product_detail,Mobile,Firefox,127.0.0.1,,Returning Customer
S09052023-000002,11896,1189637163,09:05:2023 01:38:24,67.55,1,,0,Direct,Company Site,,S11032023-000001,3,SKU0016525,1,,,09:05:2023 01:40:29,Ecommerce,Conversion,0,product_add,shopping_cart,Mobile,Firefox,127.0.0.1,,Returning Customer
S09052023-000002,11896,1189637986,09:05:2023 01:38:24,177.66,2,,0,Direct,Company Site,,S11032023-000001,3,SKU0026040,2,,,09:05:2023 01:40:29,Ecommerce,Conversion,0,product_add,shopping_cart,Mobile,Firefox,127.0.0.1,,Returning Customer
S09052023-000002,11896,1189622879,09:05:2023 01:38:24,67.55,1,67.55,0,Direct,Company Site,,S11032023-000001,4,SKU0016525,1,67.55,USD,09:05:2023 01:41:27,Ecommerce,Conversion,0,payment_entry,payment_screen,Mobile,Firefox,127.0.0.1,,Returning Customer
S09052023-000002,11896,1189630669,09:05:2023 01:38:24,177.66,2,355.32,0,Direct,Company Site,,S11032023-000001,4,SKU0026040,2,355.32,USD,09:05:2023 01:41:27,Ecommerce,Conversion,0,payment_entry,payment_screen,Mobile,Firefox,127.0.0.1,,Returning Customer
S09052023-000002,11896,1189631993,09:05:2023 01:38:24,67.55,1,67.55,0,Direct,Company Site,,S09052023-000002,5,SKU0016525,1,67.55,USD,09:05:2023 01:42:13,Ecommerce,Conversion,422.87,verify_order,order_success,Mobile,Firefox,127.0.0.1,,Returning Customer
S09052023-000002,11896,1189625995,09:05:2023 01:38:24,177.66,2,355.32,0,Direct,Company Site,,S09052023-000002,5,SKU0026040,2,355.32,USD,09:05:2023 01:42:13,Ecommerce,Conversion,422.87,verify_order,order_success,Mobile,Firefox,127.0.0.1,,Returning Customer
S17042023-000003,11896,1189623981,17:04:2023 17:22:29,,,,0,Direct,Company Site,,S09052023-000002,0,,,,,17:04:2023 17:22:29,Ecommerce,Conversion,0,click,home_page,Laptop,Chrome,127.0.0.1,,Returning Customer
S17042023-000003,11896,1189628662,17:04:2023 17:22:29,,,,0,Direct,Company Site,,S09052023-000002,1,,,,,17:04:2023 17:23:29,Ecommerce,Conversion,0,product_click,product_list,Laptop,Chrome,127.0.0.1,,Returning Customer
S17042023-000003,11896,1189632835,17:04:2023 17:22:29,88.29,,,0,Direct,Company Site,,S09052023-000002,2,SKU0021501,,,,17:04:2023 17:24:10,Ecommerce,Conversion,0,product_select,product_detail,Laptop,Chrome,127.0.0.1,,Returning Customer
S17042023-000003,11896,1189631570,17:04:2023 17:22:29,108.96,,,0,Direct,Company Site,,S09052023-000002,2,SKU0017459,,,,17:04:2023 17:24:10,Ecommerce,Conversion,0,product_select,product_detail,Laptop,Chrome,127.0.0.1,,Returning Customer
S17042023-000003,11896,1189621201,17:04:2023 17:22:29,11.92,,,0,Direct,Company Site,,S09052023-000002,2,SKU0019783,,,,17:04:2023 17:24:10,Ecommerce,Conversion,0,product_select,product_detail,Laptop,Chrome,127.0.0.1,,Returning Customer
S17042023-000003,11896,1189628203,17:04:2023 17:22:29,169.85,,,0,Direct,Company Site,,S09052023-000002,2,SKU0016161,,,,17:04:2023 17:24:10,Ecommerce,Conversion,0,product_select,product_detail,Laptop,Chrome,127.0.0.1,,Returning Customer
S17042023-000003,11896,1189622200,17:04:2023 17:22:29,88.29,2,,0,Direct,Company Site,,S09052023-000002,3,SKU0021501,2,,,17:04:2023 17:24:38,Ecommerce,Conversion,0,product_add,shopping_cart,Laptop,Chrome,127.0.0.1,,Returning Customer
S17042023-000003,11896,1189625812,17:04:2023 17:22:29,108.96,4,,0,Direct,Company Site,,S09052023-000002,3,SKU0017459,4,,,17:04:2023 17:24:38,Ecommerce,Conversion,0,product_add,shopping_cart,Laptop,Chrome,127.0.0.1,,Returning Customer
S17042023-000003,11896,1189636646,17:04:2023 17:22:29,11.92,2,,0,Direct,Company Site,,S09052023-000002,3,SKU0019783,2,,,17:04:2023 17:24:38,Ecommerce,Conversion,0,product_add,shopping_cart,Laptop,Chrome,127.0.0.1,,Returning Customer
S17042023-000003,11896,1189634947,17:04:2023 17:22:29,169.85,4,,0,Direct,Company Site,,S09052023-000002,3,SKU0016161,4,,,17:04:2023 17:24:38,Ecommerce,Conversion,0,product_add,shopping_cart,Laptop,Chrome,127.0.0.1,,Returning Customer
S17042023-000003,11896,1189623880,17:04:2023 17:22:29,88.29,2,176.58,0,Direct,Company Site,,S09052023-000002,4,SKU0021501,2,176.58,USD,17:04:2023 17:25:51,Ecommerce,Conversion,0,payment_entry,payment_screen,Laptop,Chrome,127.0.0.1,,Returning Customer
S17042023-000003,11896,1189625203,17:04:2023 17:22:29,108.96,4,435.84,0,Direct,Company Site,,S09052023-000002,4,SKU0017459,4,435.84,USD,17:04:2023 17:25:51,Ecommerce,Conversion,0,payment_entry,payment_screen,Laptop,Chrome,127.0.0.1,,Returning Customer
S17042023-000003,11896,1189633613,17:04:2023 17:22:29,11.92,2,23.84,0,Direct,Company Site,,S09052023-000002,4,SKU0019783,2,23.84,USD,17:04:2023 17:25:51,Ecommerce,Conversion,0,payment_entry,payment_screen,Laptop,Chrome,127.0.0.1,,Returning Customer
S17042023-000003,11896,1189636580,17:04:2023 17:22:29,169.85,4,679.4,0,Direct,Company Site,,S09052023-000002,4,SKU0016161,4,679.4,USD,17:04:2023 17:25:51,Ecommerce,Conversion,0,payment_entry,payment_screen,Laptop,Chrome,127.0.0.1,,Returning Customer
S17042023-000003,11896,1189635551,17:04:2023 17:22:29,88.29,2,176.58,0,Direct,Company Site,,S17042023-000003,5,SKU0021501,2,176.58,USD,17:04:2023 17:26:43,Ecommerce,Conversion,1315.66,verify_order,order_success,Laptop,Chrome,127.0.0.1,,Returning Customer
S17042023-000003,11896,1189640046,17:04:2023 17:22:29,108.96,4,435.84,0,Direct,Company Site,,S17042023-000003,5,SKU0017459,4,435.84,USD,17:04:2023 17:26:43,Ecommerce,Conversion,1315.66,verify_order,order_success,Laptop,Chrome,127.0.0.1,,Returning Customer
S17042023-000003,11896,1189637852,17:04:2023 17:22:29,11.92,2,23.84,0,Direct,Company Site,,S17042023-000003,5,SKU0019783,2,23.84,USD,17:04:2023 17:26:43,Ecommerce,Conversion,1315.66,verify_order,order_success,Laptop,Chrome,127.0.0.1,,Returning Customer
S17042023-000003,11896,1189623947,17:04:2023 17:22:29,169.85,4,679.4,0,Direct,Company Site,,S17042023-000003,5,SKU0016161,4,679.4,USD,17:04:2023 17:26:43,Ecommerce,Conversion,1315.66,verify_order,order_success,Laptop,Chrome,127.0.0.1,,Returning Customer
S23042023-000004,11896,1189624149,23:04:2023 01:34:34,,,,0,Direct,Company Site,,S17042023-000003,0,,,,,23:04:2023 01:34:34,Ecommerce,Conversion,0,click,home_page,Laptop,Chrome,127.0.0.1,,Returning Customer
S23042023-000004,11896,1189630772,23:04:2023 01:34:34,,,,0,Direct,Company Site,,S17042023-000003,1,,,,,23:04:2023 01:35:36,Ecommerce,Conversion,0,product_click,product_list,Laptop,Chrome,127.0.0.1,,Returning Customer
S23042023-000004,11896,1189635256,23:04:2023 01:34:34,108.3,,,0,Direct,Company Site,,S17042023-000003,2,SKU0015412,,,,23:04:2023 01:36:10,Ecommerce,Conversion,0,product_select,product_detail,Laptop,Chrome,127.0.0.1,,Returning Customer
S23042023-000004,11896,1189637562,23:04:2023 01:34:34,89.29,,,0,Direct,Company Site,,S17042023-000003,2,SKU0018746,,,,23:04:2023 01:36:10,Ecommerce,Conversion,0,product_select,product_detail,Laptop,Chrome,127.0.0.1,,Returning Customer
S23042023-000004,11896,1189632567,23:04:2023 01:34:34,108.3,4,,0,Direct,Company Site,,S17042023-000003,3,SKU0015412,4,,,23:04:2023 01:36:43,Ecommerce,Conversion,0,product_add,shopping_cart,Laptop,Chrome,127.0.0.1,,Returning Customer
S23042023-000004,11896,1189621667,23:04:2023 01:34:34,89.29,4,,0,Direct,Company Site,,S17042023-000003,3,SKU0018746,4,,,23:04:2023 01:36:43,Ecommerce,Conversion,0,product_add,shopping_cart,Laptop,Chrome,127.0.0.1,,Returning Customer
S23042023-000004,11896,1189632859,23:04:2023 01:34:34,108.3,4,433.2,0,Direct,Company Site,,S17042023-000003,4,SKU0015412,4,433.2,USD,23:04:2023 01:37:36,Ecommerce,Conversion,0,payment_entry,payment_screen,Laptop,Chrome,127.0.0.1,,Returning Customer
S23042023-000004,11896,1189629879,23:04:2023 01:34:34,89.29,4,357.16,0,Direct,Company Site,,S17042023-000003,4,SKU0018746,4,357.16,USD,23:04:2023 01:37:36,Ecommerce,Conversion,0,payment_entry,payment_screen,Laptop,Chrome,127.0.0.1,,Returning Customer
S23042023-000004,11896,1189637482,23:04:2023 01:34:34,108.3,4,433.2,0,Direct,Company Site,,S23042023-000004,5,SKU0015412,4,433.2,USD,23:04:2023 01:38:03,Ecommerce,Conversion,790.36,verify_order,order_success,Laptop,Chrome,127.0.0.1,,Returning Customer
S23042023-000004,11896,1189637343,23:04:2023 01:34:34,89.29,4,357.16,0,Direct,Company Site,,S23042023-000004,5,SKU0018746,4,357.16,USD,23:04:2023 01:38:03,Ecommerce,Conversion,790.36,verify_order,order_success,Laptop,Chrome,127.0.0.1,,Returning Customer
S28042023-000005,11896,1189636806,28:04:2023 20:51:03,,,,0,Direct,Company Site,,S23042023-000004,0,,,,,28:04:2023 20:51:03,Ecommerce,Conversion,0,click,home_page,Laptop,Firefox,127.0.0.1,,Returning Customer
S28042023-000005,11896,1189639056,28:04:2023 20:51:03,,,,0,Direct,Company Site,,S23042023-000004,1,,,,,28:04:2023 20:51:36,Ecommerce,Conversion,0,product_click,product_list,Laptop,Firefox,127.0.0.1,,Returning Customer
S28042023-000005,11896,1189623580,28:04:2023 20:51:03,71.36,,,0,Direct,Company Site,,S23042023-000004,2,SKU0021387,,,,28:04:2023 20:52:21,Ecommerce,Conversion,0,product_select,product_detail,Laptop,Firefox,127.0.0.1,,Returning Customer
S28042023-000005,11896,1189638411,28:04:2023 20:51:03,71.36,2,,0,Direct,Company Site,,S23042023-000004,3,SKU0021387,2,,,28:04:2023 20:53:35,Ecommerce,Conversion,0,product_add,shopping_cart,Laptop,Firefox,127.0.0.1,,Returning Customer
S28042023-000005,11896,1189623076,28:04:2023 20:51:03,71.36,2,142.72,0,Direct,Company Site,,S23042023-000004,4,SKU0021387,2,142.72,USD,28:04:2023 20:54:06,Ecommerce,Conversion,0,payment_entry,payment_screen,Laptop,Firefox,127.0.0.1,,Returning Customer
S28042023-000005,11896,1189634131,28:04:2023 20:51:03,71.36,2,142.72,0,Direct,Company Site,,S28042023-000005,5,SKU0021387,2,142.72,USD,28:04:2023 20:55:04,Ecommerce,Conversion,142.72,verify_order,order_success,Laptop,Firefox,127.0.0.1,,Returning Customer
S11032023-000006,11899,1189922935,11:03:2023 03:49:10,,,,0,Direct,Company Site,,S28042023-000005,0,,,,,11:03:2023 03:49:10,Ecommerce,Conversion,0,click,home_page,Desktop,Firefox,127.0.0.1,,Returning Customer
S11032023-000006,11899,1189930359,11:03:2023 03:49:10,,,,0,Direct,Company Site,,S28042023-000005,1,,,,,11:03:2023 03:50:15,Ecommerce,Conversion,0,product_click,product_list,Desktop,Firefox,127.0.0.1,,Returning Customer
S11032023-000006,11899,1189929332,11:03:2023 03:49:10,77.4,,,0,Direct,Company Site,,S28042023-000005,2,SKU0022145,,,,11:03:2023 03:51:26,Ecommerce,Conversion,0,product_select,product_detail,Desktop,Firefox,127.0.0.1,,Returning Customer
S11032023-000006,11899,1189933128,11:03:2023 03:49:10,65.45,,,0,Direct,Company Site,,S28042023-000005,2,SKU0025914,,,,11:03:2023 03:51:26,Ecommerce,Conversion,0,product_select,product_detail,Desktop,Firefox,127.0.0.1,,Returning Customer
S11032023-000006,11899,1189937434,11:03:2023 03:49:10,74.5,,,0,Direct,Company Site,,S28042023-000005,2,SKU0020273,,,,11:03:2023 03:51:26,Ecommerce,Conversion,0,product_select,product_detail,Desktop,Firefox,127.0.0.1,,Returning Customer
S11032023-000006,11899,1189932708,11:03:2023 03:49:10,168.32,,,0,Direct,Company Site,,S28042023-000005,2,SKU0017405,,,,11:03:2023 03:51:26,Ecommerce,Conversion,0,product_select,product_detail,Desktop,Firefox,127.0.0.1,,Returning Customer
S11032023-000006,11899,1189939033,11:03:2023 03:49:10,47,,,0,Direct,Company Site,,S28042023-000005,2,SKU0024712,,,,11:03:2023 03:51:26,Ecommerce,Conversion,0,product_select,product_detail,Desktop,Firefox,127.0.0.1,,Returning Customer
S11032023-000006,11899,1189940850,11:03:2023 03:49:10,77.4,1,,0,Direct,Company Site,,S28042023-000005,3,SKU0022145,1,,,11:03:2023 03:52:19,Ecommerce,Conversion,0,product_add,shopping_cart,Desktop,Firefox,127.0.0.1,,Returning Customer
S11032023-000006,11899,1189921055,11:03:2023 03:49:10,65.45,1,,0,Direct,Company Site,,S28042023-000005,3,SKU0025914,1,,,11:03:2023 03:52:19,Ecommerce,Conversion,0,product_add,shopping_cart,Desktop,Firefox,127.0.0.1,,Returning Customer
S11032023-000006,11899,1189926012,11:03:2023 03:49:10,74.5,3,,0,Direct,Company Site,,S28042023-000005,3,SKU0020273,3,,,11:03:2023 03:52:19,Ecommerce,Conversion,0,product_add,shopping_cart,Desktop,Firefox,127.0.0.1,,Returning Customer
S11032023-000006,11899,1189936620,11:03:2023 03:49:10,168.32,5,,0,Direct,Company Site,,S28042023-000005,3,SKU0017405,5,,,11:03:2023 03:52:19,Ecommerce,Conversion,0,product_add,shopping_cart,Desktop,Firefox,127.0.0.1,,Returning Customer
S11032023-000006,11899,1189940618,11:03:2023 03:49:10,47,3,,0,Direct,Company Site,,S28042023-000005,3,SKU0024712,3,,,11:03:2023 03:52:19,Ecommerce,Conversion,0,product_add,shopping_cart,Desktop,Firefox,127.0.0.1,,Returning Customer
S11032023-000006,11899,1189939901,11:03:2023 03:49:10,77.4,1,77.4,0,Direct,Company Site,,S28042023-000005,4,SKU0022145,1,77.4,USD,11:03:2023 03:52:40,Ecommerce,Conversion,0,payment_entry,payment_screen,Desktop,Firefox,127.0.0.1,,Returning Customer
S11032023-000006,11899,1189922649,11:03:2023 03:49:10,65.45,1,65.45,0,Direct,Company Site,,S28042023-000005,4,SKU0025914,1,65.45,USD,11:03:2023 03:52:40,Ecommerce,Conversion,0,payment_entry,payment_screen,Desktop,Firefox,127.0.0.1,,Returning Customer
S11032023-000006,11899,1189935933,11:03:2023 03:49:10,74.5,3,223.5,0,Direct,Company Site,,S28042023-000005,4,SKU0020273,3,223.5,USD,11:03:2023 03:52:40,Ecommerce,Conversion,0,payment_entry,payment_screen,Desktop,Firefox,127.0.0.1,,Returning Customer
S11032023-000006,11899,1189922390,11:03:2023 03:49:10,168.32,5,841.6,0,Direct,Company Site,,S28042023-000005,4,SKU0017405,5,841.6,USD,11:03:2023 03:52:40,Ecommerce,Conversion,0,payment_entry,payment_screen,Desktop,Firefox,127.0.0.1,,Returning Customer
S11032023-000006,11899,1189932729,11:03:2023 03:49:10,47,3,141,0,Direct,Company Site,,S28042023-000005,4,SKU0024712,3,141,USD,11:03:2023 03:52:40,Ecommerce,Conversion,0,payment_entry,payment_screen,Desktop,Firefox,127.0.0.1,,Returning Customer
S11032023-000006,11899,1189925143,11:03:2023 03:49:10,77.4,1,77.4,0,Direct,Company Site,,S11032023-000006,5,SKU0022145,1,77.4,USD,11:03:2023 03:53:31,Ecommerce,Conversion,1348.95,verify_order,order_success,Desktop,Firefox,127.0.0.1,,Returning Customer
S11032023-000006,11899,1189936757,11:03:2023 03:49:10,65.45,1,65.45,0,Direct,Company Site,,S11032023-000006,5,SKU0025914,1,65.45,USD,11:03:2023 03:53:31,Ecommerce,Conversion,1348.95,verify_order,order_success,Desktop,Firefox,127.0.0.1,,Returning Customer
S11032023-000006,11899,1189940123,11:03:2023 03:49:10,74.5,3,223.5,0,Direct,Company Site,,S11032023-000006,5,SKU0020273,3,223.5,USD,11:03:2023 03:53:31,Ecommerce,Conversion,1348.95,verify_order,order_success,Desktop,Firefox,127.0.0.1,,Returning Customer
S11032023-000006,11899,1189938076,11:03:2023 03:49:10,168.32,5,841.6,0,Direct,Company Site,,S11032023-000006,5,SKU0017405,5,841.6,USD,11:03:2023 03:53:31,Ecommerce,Conversion,1348.95,verify_order,order_success,Desktop,Firefox,127.0.0.1,,Returning Customer
S11032023-000006,11899,1189922676,11:03:2023 03:49:10,47,3,141,0,Direct,Company Site,,S11032023-000006,5,SKU0024712,3,141,USD,11:03:2023 03:53:31,Ecommerce,Conversion,1348.95,verify_order,order_success,Desktop,Firefox,127.0.0.1,,Returning Customer
