fleet_name,icao_code,airbase_code,contractors,depot_id,first_flight,delivered,ioc,production,inventory,operator,aircraft_location,active_variant,weight,power_plant,length,wing_area,fuel_capacity,ceiling,accomodation,aircraft_locations
F-22 Raptor,F-22,kcvs,Lockheed Martin,8ed0d98e-6e05-448a-a358-74434eaed284,Sept. 7,"Oct. 23, 2002-May 2, 2012","Dec. 15, 2005",195,186,ACC,Edwards AFB,F-22A. Fifth-generation air dominance fighter,"Max T-O 83,500 lb","Two Pratt & Whitney F119-PW-100 turbofans, each 35,000 lb thrust",62 ft 1 in,840 sq ft,2166.21 Gallons,"Above 50,000 ft.",Pilot on ACES II zero/zero ejection seat,Edwards AFB
F-22 Raptor,F-22,kcvs,Lockheed Martin,8ed0d98e-6e05-448a-a358-74434eaed284,Sept. 7,"Oct. 23, 2002-May 2, 2012","Dec. 15, 2005",195,186,ACC," Calif.; Eglin AFB",F-22A. Fifth-generation air dominance fighter,"Max T-O 83,500 lb","Two Pratt & Whitney F119-PW-100 turbofans, each 35,000 lb thrust",62 ft 1 in,840 sq ft,2166.21 Gallons,"Above 50,000 ft.",Pilot on ACES II zero/zero ejection seat," Calif."
F-22 Raptor,F-22,kcvs,Lockheed Martin,8ed0d98e-6e05-448a-a358-74434eaed284,Sept. 7,"Oct. 23, 2002-May 2, 2012","Dec. 15, 2005",195,186,ACC," Calif.; Eglin AFB",F-22A. Fifth-generation air dominance fighter,"Max T-O 83,500 lb","Two Pratt & Whitney F119-PW-100 turbofans, each 35,000 lb thrust",62 ft 1 in,840 sq ft,2166.21 Gallons,"Above 50,000 ft.",Pilot on ACES II zero/zero ejection seat," Eglin AFB"
F-22 Raptor,F-22,kcvs,Lockheed Martin,8ed0d98e-6e05-448a-a358-74434eaed284,Sept. 7,"Oct. 23, 2002-May 2, 2012","Dec. 15, 2005",195,186,ACC," Fla.; JB ElmendorfRichardson",F-22A. Fifth-generation air dominance fighter,"Max T-O 83,500 lb","Two Pratt & Whitney F119-PW-100 turbofans, each 35,000 lb thrust",62 ft 1 in,840 sq ft,2166.21 Gallons,"Above 50,000 ft.",Pilot on ACES II zero/zero ejection seat," Fla."
F-22 Raptor,F-22,kcvs,Lockheed Martin,8ed0d98e-6e05-448a-a358-74434eaed284,Sept. 7,"Oct. 23, 2002-May 2, 2012","Dec. 15, 2005",195,186,ACC," Fla.; JB ElmendorfRichardson",F-22A. Fifth-generation air dominance fighter,"Max T-O 83,500 lb","Two Pratt & Whitney F119-PW-100 turbofans, each 35,000 lb thrust",62 ft 1 in,840 sq ft,2166.21 Gallons,"Above 50,000 ft.",Pilot on ACES II zero/zero ejection seat," JB ElmendorfRichardson"
F-22 Raptor,F-22,kcvs,Lockheed Martin,8ed0d98e-6e05-448a-a358-74434eaed284,Sept. 7,"Oct. 23, 2002-May 2, 2012","Dec. 15, 2005",195,186,ACC," Alaska; JB Langley-Eustis",F-22A. Fifth-generation air dominance fighter,"Max T-O 83,500 lb","Two Pratt & Whitney F119-PW-100 turbofans, each 35,000 lb thrust",62 ft 1 in,840 sq ft,2166.21 Gallons,"Above 50,000 ft.",Pilot on ACES II zero/zero ejection seat," Alaska"
F-22 Raptor,F-22,kcvs,Lockheed Martin,8ed0d98e-6e05-448a-a358-74434eaed284,Sept. 7,"Oct. 23, 2002-May 2, 2012","Dec. 15, 2005",195,186,ACC," Alaska; JB Langley-Eustis",F-22A. Fifth-generation air dominance fighter,"Max T-O 83,500 lb","Two Pratt & Whitney F119-PW-100 turbofans, each 35,000 lb thrust",62 ft 1 in,840 sq ft,2166.21 Gallons,"Above 50,000 ft.",Pilot on ACES II zero/zero ejection seat," JB Langley-Eustis"
F-22 Raptor,F-22,kcvs,Lockheed Martin,8ed0d98e-6e05-448a-a358-74434eaed284,Sept. 7,"Oct. 23, 2002-May 2, 2012","Dec. 15, 2005",195,186,ACC," Va.; JB Pearl Harbor-Hickam",F-22A. Fifth-generation air dominance fighter,"Max T-O 83,500 lb","Two Pratt & Whitney F119-PW-100 turbofans, each 35,000 lb thrust",62 ft 1 in,840 sq ft,2166.21 Gallons,"Above 50,000 ft.",Pilot on ACES II zero/zero ejection seat," Va."
F-22 Raptor,F-22,kcvs,Lockheed Martin,8ed0d98e-6e05-448a-a358-74434eaed284,Sept. 7,"Oct. 23, 2002-May 2, 2012","Dec. 15, 2005",195,186,ACC," Va.; JB Pearl Harbor-Hickam",F-22A. Fifth-generation air dominance fighter,"Max T-O 83,500 lb","Two Pratt & Whitney F119-PW-100 turbofans, each 35,000 lb thrust",62 ft 1 in,840 sq ft,2166.21 Gallons,"Above 50,000 ft.",Pilot on ACES II zero/zero ejection seat," JB Pearl Harbor-Hickam"
F-22 Raptor,F-22,kcvs,Lockheed Martin,8ed0d98e-6e05-448a-a358-74434eaed284,Sept. 7,"Oct. 23, 2002-May 2, 2012","Dec. 15, 2005",195,186,ACC," Hawaii; Nellis AFB",F-22A. Fifth-generation air dominance fighter,"Max T-O 83,500 lb","Two Pratt & Whitney F119-PW-100 turbofans, each 35,000 lb thrust",62 ft 1 in,840 sq ft,2166.21 Gallons,"Above 50,000 ft.",Pilot on ACES II zero/zero ejection seat," Hawaii"
